category,Description,Test Steps,Expected Results
Concurrent Access,Access Account via Mobile App and Web,"1. Log in to the account using the mobile app. 
2. Open a web browser and log in to the account through the bank's website. 
3. Perform transactions or account operations using both the app and web access simultaneously.",The user can access the account and conduct transactions simultaneously using both the mobile app and web access without any issues or discrepancies.
Multiple Device Access,Access Account from Two Mobile Devices,"1. Log in to the account on the primary mobile device (e.g., smartphone). 
2. Log in to the account on the secondary mobile device (e.g., tablet or another smartphone). 
3. Perform transactions or account operations on both devices simultaneously.",The user can access the account and perform transactions simultaneously from two mobile devices without any issues or errors.
Multiple Device Access,Access Account from Mobile and Desktop,"1. Log in to the account using the mobile app on the mobile device. 
2. Open a web browser on the desktop computer and log in to the account through the bank's website. 
3. Perform transactions or account operations using both the mobile app and desktop web access simultaneously.",The user can access the account and conduct transactions simultaneously using both the mobile app and desktop web access without any issues or discrepancies.
Suspicious Login Activity,Unusual Login Location Detection,"1. Log in to the account from a different location (e.g., a different city or country). 2. Perform standard login steps.",The system detects the unusual login location and prompts the user to verify their identity or change their password for added security.
Suspicious Login Activity,Multiple Failed Login Attempts,"1. Enter incorrect login credentials multiple times. 
2. Continue this pattern for a defined number of attempts.","After the defined number of failed login attempts, the user is temporarily locked out for security purposes and must follow account recovery procedures."
Suspicious Login Activity,Rapid Login Attempts,"1. Attempt to log in multiple times in quick succession. 
2. Perform standard login steps.",The system detects rapid login attempts and may temporarily lock the account or prompt the user for additional security measures.
Suspicious Login Activity,Simultaneous Login from Multiple Devices,"1. Log in to the account from one device (e.g., a computer). 
2. Log in to the account from another device (e.g., a smartphone) at the same time. 
3. Perform standard login steps on both devices.",The system allows simultaneous logins but monitors and alerts the user about the multiple active sessions for their awareness.
Suspicious Login Activity,Abnormal Login Time,"1. Log in to the account at an unusual time (e.g., 3:00 AM).
2. Perform standard login steps.",The system allows the login but may send an alert or notification to the user about the unusual login time for their awareness.
Contact Us,Access Contact Information,"1. Navigate to the ""Contact Us"" or ""Customer Support"" section. 
2. View the contact information provided, including phone numbers and email addresses.","The user can easily access the bank's contact information, enabling them to reach out for assistance or inquiries."
Contact Us,Send a Contact Form,"1. Access the ""Contact Us"" or ""Support"" section. 
2. Fill out the contact form with relevant information (name, email, subject, message). 
3. Submit the form.","The contact form is successfully submitted, and the user receives a confirmation message. The bank is notified of the user's inquiry."
Contact Us,Check Support Hours,"1. Navigate to the ""Contact Us"" or ""Support"" section. 
2. Review the displayed support hours (e.g., business hours, weekends).","The user can view the bank's support hours, allowing them to know when assistance is available."
Contact Us,View FAQs,"1. Access the ""FAQs"" or ""Help Center"" section. 
2. Browse the list of frequently asked questions and their answers.",The user can find answers to common questions and gain information without the need to contact support.
Contact Us,Request a Callback,"1. Access the ""Request a Callback"" or ""Call Me Back"" option. 
2. Fill out the callback request form with details (name, phone number, preferred time). 
3. Submit the request.","The callback request is successfully submitted, and the user receives a confirmation message. A bank representative will call back as requested."
Interest Calculations,View Interest Details,"1. Access the ""Interest Details"" or ""Account Summary"" section.
 2. View the interest rate and calculation details.","The user can view the interest rate, calculation method, and interest accrued on the account, providing transparency on interest earnings."
Interest Calculations,Calculate Expected Interest,"1. Navigate to the ""Interest Calculator"" or ""Expected Earnings"" tool. 
2. Enter the principal amount and select the calculation period. 
3. Initiate the calculation.","The calculated expected interest earnings are displayed, based on the provided principal and calculation period."
Interest Calculations,Verify Interest Crediting,"1. Access the ""Transaction History"" or ""Account Statements"" section. 
2. Locate and review the interest crediting transaction.","The interest crediting transaction is visible in the account history, confirming that interest has been credited as per the schedule."
Interest Calculations,Update Interest Preferences,"1. Navigate to the ""Interest Preferences"" or ""Interest Settings"" section. 2. Adjust interest calculation preferences (e.g., frequency, reinvestment). 3. Save the preferences.","The user's interest calculation preferences are successfully updated, affecting future interest crediting and earnings."
Interest Calculations,Verify Accurate Interest Earnings,"1. Access the ""Account Statements"" or ""Transaction History"" section. 
2. Review the interest earnings over a specific time frame. 
3. Cross-verify with the calculated interest.","The interest earnings displayed in the account history match the calculated interest, ensuring accurate"
Loan Section,Loan Application Submission,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Navigate to the ""Loan"" or ""Apply for a Loan"" section. 
8. Fill in the loan application form with the required information. 
9. Submit the application.","The loan application is successfully submitted, and the user receives a confirmation message or reference number."
Loan Section,Loan Application Status Check,"1.Navigate to the ""Loan"" or ""Application Status"" section. 
2. Enter the application reference number or details. 
3. Check the status.","The user can view the current status of their loan application, whether it's pending, approved, or declined."
Loan Section,Loan Repayment Scheduling,"1. Log in to the banking application. 
2. Navigate to the ""Loan"" or ""Repayment"" section. 
3. Choose a repayment frequency (e.g., monthly). 
4. Select the repayment start date.","The user can schedule loan repayments according to their preferences, and the system records the scheduled payments."
Loan Section,Early Loan Repayment,"1.Navigate to the ""Loan"" or ""Repayment"" section. 
2. Choose the option for early repayment. 
3. Follow the repayment process.","The user successfully repays the loan before the scheduled date, and the system updates the loan status accordingly."
Loan Section,Loan Amortization Table,"1.Navigate to the ""Loan"" or ""Amortization"" section. 
2. Access the amortization table for the loan.","The user can view a detailed amortization table that provides information on each installment, including principal and interest amounts."
Loan Section,Loan Calculators,"1. Navigate to the ""Loan"" or ""Loan Calculator"" section. 
2. Input loan details (e.g., amount, interest rate, term). 
3. Calculate the estimated loan terms.","The user receives estimated loan terms, including monthly payments, interest amount, and total repayment, helping them make informed decisions."
Loan Section,View Loan Offerings,"1.Navigate to the ""Loans"" or ""Loan Offerings"" section. 
2. Browse the available loan types.","The user can view a list of available loan types, including details such as interest rates, terms, and eligibility criteria."
Loan Section,Loan Eligibility Check,"1.Navigate to the ""Loans"" or ""Eligibility Check"" section. 
2. Enter personal and financial details. 
3. Check eligibility.",The user receives information on their eligibility for specific loan types and the maximum loan amount they may qualify for.
Loan Section,Loan Comparison,"1.Navigate to the ""Loans"" or ""Loan Comparison"" section. 
2. Select two or more loan types. 
3. Compare terms, interest rates, and fees.","The user can compare different loans side by side, making it easier to make an informed decision about the most suitable loan."
Loan Section,Loan Features Details,"1.Navigate to the ""Loans"" or ""Loan Details"" section. 
2. Choose a specific loan type. 
3. Review detailed information.","The user can access comprehensive information about the selected loan type, including terms, repayment options, and any special features."
Loan Section,Apply for Loan with Insufficient Credit Score,"1. In the ""Loan"" section, select ""Apply for Loan."" 
2. Complete the loan application form. 
3. Submit the application.","The application informs the user that their credit score is insufficient, and the loan application is declined."
Loan Section,Apply for Loan with Inadequate Income,"1. In the ""Loan"" section, choose ""Apply for Loan."" 
2. Complete the loan application form, including income details. 
3. Submit the application.","The application informs the user that their income is insufficient to qualify for the loan, and the application is declined."
Loan Section,Apply for Loan Beyond Eligibility,"1. In the ""Loan"" section, select ""Apply for Loan."" 
2. Complete the loan application form with an amount exceeding their eligible loan amount. 
3. Submit the application.","The application informs the user that the loan amount exceeds their eligibility, and the application is declined."
Loan Section,Incomplete Loan Application,"1. In the ""Loan"" section, choose ""Apply for Loan."" 
2. Fill in only some of the required fields in the loan application. 
3. Submit the incomplete application.",The application informs the user that the loan application is incomplete and prompts them to fill in all required fields.
Loan Section,Application Without Necessary Documents,"1. In the ""Loan"" section, select ""Apply for Loan."" 
2. Complete the loan application but do not attach required documents. 
3. Submit the application.",The application informs the user that necessary documents are missing and prompts them to upload the required documents.
Types of Loan,Home Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Home Loan.""","The user is presented with information about home loan options offered by the bank, including interest rates, eligibility criteria, and application steps."
Types of Loan,Personal Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Personal Loan.""","The user is provided with details on personal loan products, interest rates, loan amounts, and the application process."
Types of Loan,Car Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Car Loan.""","The user is shown information about car loans, including terms, interest rates, and steps to apply for a car loan."
Types of Loan,Education Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Education Loan.""","The user can access details on education loans, including eligibility criteria, repayment options, and the application process."
Types of Loan,Business Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Business Loan.""","The user can explore business loan offerings, including loan amounts, interest rates, and information on how to apply for a business loan."
Types of Loan,Gold Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Gold Loan.""","The user can view information about gold loans, including loan-to-value ratios, interest rates, and the gold loan application process."
Types of Loan,Mortgage Loan,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Mortgage Loan.""","The user is presented with details about mortgage loans, such as loan terms, interest rates, and the mortgage application procedure."
Types of Loan,Personal Line of Credit,"1. Log in to the banking application. 
2. Navigate to the ""Loans"" section. 
3. Select ""Personal Line of Credit.""","The user can explore information about personal lines of credit, including credit limits, interest rates, and steps to apply for a line of credit."
Flexipay,Access Flexipay,"1. Navigate to the ""Flexipay"" section.",The user can access the Flexipay feature within the application.
Flexipay,Check Eligibility,"1. Access the ""Flexipay"" section. 
2. Select ""Check Eligibility."" 
3. Provide required details such as income, loan amount, and repayment period.",The user receives an eligibility assessment indicating whether they qualify for Flexipay and the applicable terms.
Flexipay,Calculate EMI,"1. Access the ""Flexipay"" section. 
2. Choose ""Calculate EMI."" 
3. Enter the loan amount, interest rate, and loan tenure.",The application provides the Equated Monthly Installment (EMI) amount based on the user's input.
Flexipay,Apply for Flexipay,"1. Access the ""Flexipay"" section. 
2. Select ""Apply for Flexipay."" 
3. Complete the application form, including personal and loan details. 
4. Submit the application.","The user's Flexipay application is submitted for processing, and they receive a confirmation with further instructions."
Flexipay,Manage Flexipay,"1. Access the ""Flexipay"" section. 
2. Choose ""Manage Flexipay."" 
3. View and manage active Flexipay plans, including modifying repayment options or closing the Flexipay plan.",The user can view and make changes to their existing Flexipay plans as needed.
Flexipay,Payment Scheduling,"1. Access the ""Flexipay"" section. 
2. Select a specific Flexipay plan. 
3. Schedule payments by choosing the payment dates and amounts.",The user can set up payment schedules for their Flexipay plan and receives confirmation of scheduled payments.
Flexipay,Request Flexipay with Insufficient Credit Limit,"1. In the ""Flexipay"" section, choose ""Request Flexipay."" 
2. Select the credit card for which you want Flexipay. 
3. Enter the Flexipay amount exceeding the available credit limit. 
4. Submit the request.","The application informs the user that their credit limit is insufficient for the Flexipay amount, and the request is declined."
Flexipay,Request Flexipay for Ineligible Transactions,"1. In the ""Flexipay"" section, select ""Request Flexipay."" 
2. Choose a credit card. 
3. Enter an amount for an ineligible transaction. 
4. Submit the request.","The application informs the user that the selected transaction is ineligible for Flexipay, and the request is declined."
Flexipay,Request Flexipay with Expired Credit Card,"1. In the ""Flexipay"" section, choose ""Request Flexipay."" 
2. Select an expired credit card. 
3. Enter the Flexipay amount. 
4. Submit the request.","The application informs the user that the credit card has expired, and the request is declined."
Flexipay,Submit Incomplete Flexipay Request,"1. In the ""Flexipay"" section, select ""Request Flexipay."" 
2. Choose a credit card. 
3. Enter the Flexipay amount but leave other required fields blank. 
4. Submit the incomplete request.",The application prompts the user to fill in all required information and resubmit the Flexipay request.
Credit Card,Credit Card Application,"1.Navigate to the URL of your bank's official website.
2.Click on ""Login"" or ""Sign In"" button in bank's website,. 
3.Enter your registered username or user ID in the provided field.
4.Enter Password in provided field.
5.Enter OTP sent to the register mobile number in provided field.
6.Click the ""Login"" or ""Submit"" button to initiate the login process.
7. Navigate to the ""Credit Cards"" or ""Apply for a Credit Card"" section. 
8. Fill in the credit card application form with the required information. 
9. Submit the application.","The credit card application is successfully submitted, and the user receives a confirmation message or reference number."
Credit Card,Credit Card Approval Status,"1.Navigate to the ""Credit Cards"" or ""Application Status"" section. 
2.Enter the application reference number or details. 
3.Check the status.","The user can view the current status of their credit card application, whether it's pending, approved, or declined."
Credit Card,Credit Card Activation,"1. Navigate to the ""Credit Cards"" or ""Activate Credit Card"" section. 
2. Enter the card details and the activation code. 
3. Activate the card.","The user's credit card is successfully activated, and they can start using it for transactions."
Credit Card,Credit Card Statement Access,"1. Navigate to the ""Credit Cards"" or ""Credit Card Statements"" section. 
2. Select the desired statement period. 
3. Access the statement.","The user can view and download their credit card statements for the selected period, including transaction details."
Credit Card,Credit Card Bill Payment,"1. Navigate to the ""Credit Cards"" or ""Pay Credit Card Bill"" section. 
2. Select the credit card account. 
3. Enter the payment amount and source. 
4. Initiate the payment.","The user can successfully make a credit card payment, and the payment is reflected in their credit card account."
Credit Offers,View Credit Offers,"1. Navigate to the ""Credit Offers"" or ""Credit Card Promotions"" section. 
2. Browse the available credit card offers.","The user can view a list of available credit card offers, including details such as benefits, features, and eligibility criteria."
Credit Offers,Apply for a Card,"1. Navigate to the ""Credit Offers"" or ""Apply for a Credit Card"" section. 
2. Choose a credit card offer. 
3. Fill in the credit card application form. 
4. Submit the application.","The credit card application is successfully submitted, and the user receives a confirmation message or reference number."
Credit Offers,Check Eligibility,"1. Navigate to the ""Credit Offers"" or ""Eligibility Check"" section. 
2. Select the offer of interest. 
3. Enter personal and financial details. 
4. Check eligibility.",The user receives information on their eligibility for the specific credit card offer and the maximum credit limit they may qualify for.
Credit Offers,Compare Offers,"1. Navigate to the ""Credit Offers"" or ""Offer Comparison"" section. 
2. Select two or more credit card offers. 
3. Compare features, fees, and benefits.","The user can compare different credit card offers side by side, making it easier to make an informed decision about the most suitable offer."
Credit Score,View Credit Score,"1. Navigate to the ""Credit Score"" or ""Check Your Credit Score"" section.","The user can view their credit score, which should be accurate and up-to-date based on information from credit bureaus."
Credit Score,Credit Score History,"1. Navigate to the ""Credit Score"" or ""Credit Score History"" section.","The user can access a historical record of their credit scores, showing trends and changes over time."
Credit Score,Credit Score Alerts,"1. Navigate to the ""Credit Score"" or ""Alerts and Notifications"" section. 
2. Enable credit score alerts and set preferred notification methods.","The user receives alerts when there are significant changes in their credit score, helping them stay informed about their credit health."
Credit Score,Improve Credit Score,"1. Navigate to the ""Credit Score"" or ""Improving Your Credit"" section. 
2. Review tips and recommendations for improving credit.","The user can access valuable information and guidance on how to improve their credit score, including actions to take and financial habits to develop."
Credit Card Rewards,View Rewards Summary,"1. Navigate to the ""Credit Card Rewards"" or ""Rewards Summary"" section.","The user can access a summary of their credit card rewards, including available points, redemption options, and expiry dates."
Credit Card Rewards,Rewards Transaction History,"1. Navigate to the ""Credit Card Rewards"" or ""Transaction History"" section. 
3. Filter the results by specific dates or criteria, if available.","The user can view a detailed transaction history related to their credit card rewards, including earned points, redeemed rewards, and the date of each transaction."
Credit Card Rewards,Redeem Rewards,"1. Navigate to the ""Credit Card Rewards"" or ""Redeem Rewards"" section. 
3. Browse available redemption options. 
4. Select an item or benefit to redeem.",The user can successfully redeem their credit card rewards for the chosen item or benefit. The application should deduct the appropriate points and provide instructions for claiming the reward.
Credit Card Rewards,Set Rewards Notifications,"1.Navigate to the ""Credit Card Rewards"" or ""Notifications"" section. 3. Set preferences for receiving rewards-related notifications (e.g., points earned, redemption opportunities).","The user receives notifications when relevant changes occur in their credit card rewards, allowing them to stay informed about earning opportunities and available benefits."
Credit Card Rewards,Check Rewards Expiry,"1. Navigate to the ""Credit Card Rewards"" or ""Rewards Expiry"" section. 
3. Review the expiry dates of earned points.","The user can easily determine when their credit card rewards points are set to expire, ensuring they use them before the expiry date to maximize their benefits."
Credit Card Rewards,Earn Bonus Rewards,"1.Navigate to the ""Credit Card Rewards"" or ""Earn Bonus Rewards"" section. 
2. Review available offers or promotions. 
3. Make eligible purchases or fulfill offer requirements.","The user earns bonus rewards as per the terms and conditions of the specific offers or promotions, adding extra value to their credit card rewards program."
Credit Card Rewards,Report Rewards Issues,"1. Navigate to the ""Credit Card Rewards"" or ""Customer Support"" section. 
2. File a report or contact customer support with details about the issue.",The user receives prompt assistance in resolving any problems or discrepancies related to their credit card rewards. The application's support team addresses the reported issue effectively.
Credit Card,Attempting Unauthorized Credit Card Activation,"1. In the ""Credit Cards"" section, select ""Activate Credit Card."" 
2. Choose a credit card not associated with the user's account. 
3. Enter the activation details. 
4. Attempt to activate the unauthorized card.","The application informs the user that they are attempting to activate a card not associated with their account, and the activation is declined."
Credit Card,Applying for Credit Limit Increase with Delinquent Account,"1. In the ""Credit Cards"" section, choose ""Apply for Credit Limit Increase."" 
2. Select the credit card for which the user wants to increase the credit limit. 
3. Enter the required details for the credit limit increase. 
4. Submit the request.","The application informs the user that credit limit increase is not available due to their delinquent account, and the request is declined."
Credit Card,Requesting Duplicate Credit Card,"1. In the ""Credit Cards"" section, select ""Request Duplicate Card."" 
2. Choose a credit card. 
3. Provide the required information for a duplicate card. 
4. Submit the request.","The application informs the user that a duplicate card for the selected credit card is not permitted, and the request is declined."
Credit Card,Applying for a Credit Card with Insufficient Income,"1. In the ""Credit Cards"" section, select ""Apply for a New Credit Card."" 
2. Fill out the credit card application with income details below the minimum income requirement. 
3. Submit the application.","The application informs the user that their income is insufficient to qualify for a new credit card, and the application is declined."
Card Activation,Activate Food Card,"1. Navigate to the Food Card section in the banking application.
2. Select the ""Activate Card"" option.
3. Enter the card number, expiry date, CVV, and other required information.
4. Confirm activation.","1.The system displays options related to the Food Card.
2.The system prompts for necessary details to activate the card.
3.The system validates the provided details and activates the card.
4.The system acknowledges successful activation and displays a confirmation message."
Card Activation,Activation with Incorrect Details,"1. Navigate to the Food Card section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., wrong card number, expired date).","1.The system displays options related to the Food Card.
2.The system prompts for necessary details to activate the card.
3.The system detects the incorrect details and prevents activation, displaying an error message."
Card Usage,Make Purchase,"1. Use the Food Card for a purchase at a food outlet or online food store.
2. Verify the transaction history.","1.The transaction gets approved, and the amount is deducted from the card balance.
2.The system shows the recent transaction with correct details and the updated balance."
Card Usage,Attempt to Use Deactivated Card,1. Use the Food Card for a purchase.,"The transaction gets declined, and an error message appears."
Card Management,Check Card Balance,"1. Access the Food Card section.
2. Select ""Check Balance"".","1.The system displays card-related options.
2.The system retrieves and displays the current balance on the card."
Card Management,Block Lost Card,"1. Access the Food Card section.
2. Select ""Block Card"" and specify the reason (lost or stolen).","1.The system displays card-related options.
2.The system blocks the card to prevent unauthorized usage and displays a confirmation message."
Card Management,Request Card Replacement,"1. Access the Food Card section.
2. Select ""Request Replacement Card"".
3. Fill in required information and confirm the request.","1.The system displays card-related options.
2.The system prompts for necessary details for card replacement.
3.The system acknowledges the request and initiates the replacement process."
Invalid Activation,Activation with Incorrect Details,"1. Access the Food Card section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., wrong card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Attempt to Use Inactive Card,Use Inactive Card,1. Use the Food Card for a purchase.,"The transaction gets declined, and an error message appears indicating the card is inactive."
Depleted Card Usage,Attempt to Use Depleted Card,1. Use the Food Card for a purchase.,"The transaction gets declined due to insufficient funds, and an error message appears."
Card Management,Block Already Blocked Card,"1. Access the Food Card section.
2. Select ""Block Card"".","1.The system displays card-related options.
2.The system notifies that the card is already blocked and prevents duplicate blocking."
Card Management,Request Replacement for Active Card,"1. Access the Food Card section.
2. Select ""Request Replacement Card"".","1.The system displays card-related options.
2.The system prevents the request for card replacement for an active card and displays an error message."
Card Activation,Activate Prepaid Card,"1. Access the Prepaid Card section in the banking application.
2. Choose the ""Activate Card"" option.
3. Enter valid card details and confirm activation.","1.The system displays options for card activation.
2.The system prompts for necessary card details (card number, expiration date, CVV).
3.The system validates the provided details and activates the card, displaying a confirmation message."
Card Activation,Activation with Incorrect Details,"1. Access the Prepaid Card section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., invalid card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Card Usage,Make Purchase,"1. Use the Prepaid Card for a purchase at a store or online.
2. Verify the transaction history.","1.The transaction gets approved, and the amount is deducted from the card balance.
2.The system shows the recent transaction with correct details and the updated balance."
Card Usage,Attempt to Use Depleted Card,1. Use the Prepaid Card for a purchase.,"The transaction gets declined due to insufficient funds, and an error message appears."
Card Management,Check Card Balance,"1. Access the Prepaid Card section.
2. Select ""Check Balance"".","1.The system displays card-related options.
2.The system retrieves and displays the current card balance."
Card Management,Block Lost Card,"1. Access the Prepaid Card section.
2. Select ""Block Card"" and specify the reason (lost or stolen).","1.The system displays card-related options.
2.The system blocks the card to prevent unauthorized usage and displays a confirmation message."
Card Management,Request Card Replacement,"1. Access the Prepaid Card section.
2. Select ""Request Replacement Card"".
3. Fill in required information and confirm the request.","1.The system displays card-related options.
2.The system prompts for necessary details for card replacement.
3.The system acknowledges the request and initiates the replacement process."
Invalid Activation,Activation with Incorrect Details,"1. Access the Prepaid Card section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., invalid card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Depleted Card Usage,Attempt to Use Depleted Card,1. Use the Prepaid Card for a purchase.,"The transaction gets declined due to insufficient funds, and an error message appears."
Depleted Card Usage,Negative Balance Usage,1. Use the Prepaid Card for a purchase.,"The transaction gets declined due to a negative balance, and an error message appears."
Card Management,Block Already Blocked Card,"1. Access the Prepaid Card section.
2. Select ""Block Card"".","1.The system displays card-related options.
2.The system notifies that the card is already blocked and prevents duplicate blocking."
Card Management,Request Replacement for Active Card,"1. Access the Prepaid Card section.
2. Select ""Request Replacement Card"".","1.The system displays card-related options.
2.The system prevents the request for card replacement for an active card and displays an error message."
Card Activation,Activate Forex Card,"1. Go to the ""Forex Card"" section in the banking application.
2. Select ""Activate Card"".
3. Enter valid card details and confirm activation.","1.The system displays options for card activation.
2.The system prompts for necessary card details (card number, expiration date, CVV).
3.The system validates the provided details and activates the card, displaying a confirmation message."
Card Activation,Activation with Incorrect Details,"1. Go to the ""Forex Card"" section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., wrong card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Card Management,Make International Transaction,"1. Use the Forex Card for an international transaction.
2. Verify the transaction history.","1.The transaction gets approved, and the amount is 2.deducted from the card balance.
The system shows the recent transaction with correct details and the updated balance."
Card Management,Attempt to Use Depleted Card,1. Use the Forex Card for an international transaction.,"The transaction gets declined due to insufficient funds, and an error message appears."
Card Management,Check Card Balance,"1. Access the Forex Card section.
2. Select ""Check Balance"".","1.The system displays card-related options.
2.The system retrieves and displays the current card balance."
Card Management,Block Lost Card,"1. Access the Forex Card section.
2. Select ""Block Card"" and specify the reason (lost or stolen).","1.The system displays card-related options.
2.The system blocks the card to prevent unauthorized usage and displays a confirmation message."
Card Management,Request Card Replacement,"1. Access the Forex Card section.
2. Select ""Request Replacement Card"".
3. Fill in required information and confirm the request.","1.The system displays card-related options.
2.The system prompts for necessary details for card replacement.
3.The system acknowledges the request and initiates the replacement process."
Invalid Activation,Activation with Incorrect Details,"1. Access the Forex Card section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., invalid card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Attempt to Use Inactive Card,Use Inactive Forex Card,1. Use the Forex Card for an international transaction.,"The transaction gets declined, and an error message appears indicating the card is inactive."
Depleted Card Usage,Attempt to Use Depleted Card,1. Use the Forex Card for an international transaction.,"The transaction gets declined due to insufficient funds, and an error message appears."
Card Management,Block Already Blocked Card,"1. Access the Forex Card section.
2. Select ""Block Card"".","1.The system displays card-related options.
2.The system notifies that the card is already blocked and prevents duplicate blocking."
,Request Replacement for Active Card,"1. Access the Forex Card section.
2. Select ""Request Replacement Card"".","1.The system displays card-related options.
2.The system prevents the request for card replacement for an active card and displays an error message."
Card Activation,Activate Transit Card,"1. Go to the ""Transit Card"" section in the banking application.
2. Select ""Activate Card"".
3. Enter valid card details and confirm activation.","1.The system displays options for card activation.
2.The system prompts for necessary card details (card number, expiration date, CVV).
3.The system validates the provided details and activates the card, displaying a confirmation message."
,Activation with Incorrect Details,"1. Go to the ""Transit Card"" section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., wrong card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Card Usage,Use Transit Card for Travel,"1. Use the Transit Card for travel (e.g., public transportation).
2. Verify transaction history.","1.The card gets successfully accepted for travel, deducting the fare amount.
2.The system displays the recent transaction with correct details and the updated card balance."
,Attempt to Use Inactive Card,1. Use the Transit Card for travel.,"The transaction gets declined, and an error message appears indicating the card is inactive."
Card Management,Check Card Balance,"1. Access the Transit Card section.
2. Select ""Check Balance"".","1.The system displays card-related options.
2.The system retrieves and displays the current card balance."
,Block Lost Card,"1. Access the Transit Card section.
2. Select ""Block Card"" and specify the reason (lost or stolen).","1.The system displays card-related options.
2.The system blocks the card to prevent unauthorized usage and displays a confirmation message."
,Request Card Replacement,"1. Access the Transit Card section.
2. Select ""Request Replacement Card"".
3. Fill in required information and confirm the request.","1.The system displays card-related options.
2.The system prompts for necessary details for card replacement.
3.The system acknowledges the request and initiates the replacement process."
Invalid Activation,Activation with Incorrect Details,"1. Go to the ""Transit Card"" section.
2. Select ""Activate Card"".
3. Enter incorrect card details (e.g., invalid card number, expired date).","1.The system displays options for card activation.
2.The system prompts for necessary card details.
3.The system detects the incorrect details and prevents activation, showing an error message."
Attempt to Use Inactive Card,Use Inactive Transit Card,1. Use the Transit Card for travel.,"The transaction gets declined, and an error message appears indicating the card is inactive."
Depleted Card Usage,Attempt to Use Depleted Card,1. Use the Transit Card for travel.,"The transaction gets declined due to insufficient funds, and an error message appears."
Card Management,Block Already Blocked Card,"1. Access the Transit Card section.
2. Select ""Block Card"".","1.The system displays card-related options.
2.The system notifies that the card is already blocked and prevents duplicate blocking."
,Request Replacement for Active Card,"1. Access the Transit Card section.
2. Select ""Request Replacement Card"".","1.The system displays card-related options.
2.The system prevents the request for card replacement for an active card and displays an error message."
Bill Payments,Paying a Single Bill,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the option to pay a single bill. 
4. Provide the necessary details, including biller information and payment amount. 
5. Confirm the payment.","The user successfully pays the specified bill, and the payment is processed, resulting in a confirmation or receipt. The application should deduct the payment amount from the user's account."
Bill Payments,Scheduling a Bill Payment,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 3
. Select the option to schedule a payment. 
4. Provide the necessary details, including biller information, payment amount, and payment date. 
5. Confirm the scheduled payment.","The user schedules the bill payment, and the application acknowledges the scheduled payment, providing a confirmation or receipt. The payment should be processed on the specified date."
Bill Payments,Setting Up Recurring Payments,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Select the option to set up recurring payments. 
4. Provide the necessary details, including biller information, payment amount, frequency, and start date. 
5. Confirm the recurring payment setup.","The user successfully sets up recurring payments for the specified bills, and the application processes payments automatically according to the defined schedule. The user receives confirmation or receipts for each payment."
Bill Payments,Viewing Payment History,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Access the payment history or transaction history. 
4. Review the list of past bill payments.","The user can access a detailed history of their bill payments, including payment dates, biller information, payment amounts, and payment statuses. This provides a record of all past transactions."
Bill Payments,Managing Bill Payees,"1. Log in to the banking application. 
2. Navigate to the ""Bill Payments"" section. 
3. Access the payee management or bill payee section. 
4. Add a new payee, edit existing payee information, or remove a payee.","The user can efficiently manage their list of bill payees by adding, editing, or removing payee information. The application should reflect these changes accurately in subsequent payment transactions."
